customer_id,order_id,amount,region,city,date,order_time,segment,customer_age,customer_gender,registration_date,acquisition_channel,quantity,is_discounted,is_returned,is_fraud,email,device_type,session_id,payment_method,product_id,product_category,lat,lon
1088.0,100342.0,19827.77,Новосибирск,Севастополь,2025-09-15,11:45,C,,M,2024-09-23,referral,4.0,0.0,1.0,0.0,user1088@example.com,mobile,sess_71752,credit,146.0,Дом,56.78635,36.85427
1050.0,101244.0,61107.09,Москва,Челябинск,2025-09-09,20:00,A,,F,2025-03-01,seo,,1.0,1.0,0.0,user1050@example.com,tablet,sess_30012,card,183.0,Электроника,55.44564,37.27611
1112.0,100842.0,18242.29,Новосибирск,Челябинск,2025-08-31,19:00,B,23.0,F,2025-08-06,seo,,1.0,1.0,0.0,,tablet,sess_51573,online,265.0,Одежда,54.15666,37.54752
1062.0,100066.0,54116.24,Екатеринбург,Мытищи,2025-06-27,16:45,B,,F,2024-12-22,social,,1.0,1.0,0.0,user1062@example.com,mobile,sess_48730,cash,160.0,Книги,54.22013,38.58398
1078.0,100212.0,35936.63,Санкт-Петербург,Томск,2025-08-25,18:00,A,,F,2025-04-16,social,2.0,1.0,1.0,0.0,user1078@example.com,mobile,sess_76229,credit,228.0,Продукты,54.97683,36.08032
1091.0,101119.0,29611.11,Краснодар,Севастополь,2025-07-30,17:30,C,,,2025-04-28,social,,0.0,0.0,0.0,user1091@example.com,mobile,sess_79895,credit,299.0,Детское,53.55161,35.87081
1040.0,101015.0,19339.91,Новосибирск,Пушкин,2025-08-15,18:45,C,,M,2024-09-26,ads,6.0,1.0,,0.0,user1040@example.com,tablet,sess_50038,card,147.0,Спорт,53.6215,36.17558
,101325.0,15746.6,,Севастополь,2025-04-03,22:30,B,24.0,,2025-01-06,seo,,0.0,1.0,0.0,user1101@example.com,desktop,,cash,293.0,Дом,56.22911,38.09165
1032.0,100113.0,38585.0,Москва,Пушкин,2025-05-08,15:00,,22.0,F,2023-12-26,direct,10.0,0.0,0.0,0.0,user1032@example.com,desktop,sess_89919,card,203.0,Спорт,56.10238,36.17238
1015.0,100755.0,57259.61,Краснодар,Челябинск,2025-04-27,15:15,B,,M,2025-02-01,ads,8.0,,0.0,0.0,user1015@example.com,mobile,sess_49360,card,116.0,Детское,55.12752,37.72889
1015.0,100769.0,38420.24,Краснодар,Челябинск,2025-05-08,20:30,B,,M,2024-01-11,seo,,1.0,1.0,0.0,,tablet,sess_15918,online,195.0,Детское,54.35976,38.46362
1118.0,100524.0,15947.41,Москва,Севастополь,2025-07-15,9:30,B,,M,2024-08-08,seo,8.0,1.0,0.0,0.0,user1118@example.com,desktop,sess_49452,card,244.0,Продукты,53.98518,38.74451
1099.0,100176.0,,Санкт-Петербург,Пермь,2025-08-04,18:30,B,,M,2025-07-08,referral,,0.0,0.0,0.0,user1099@example.com,tablet,sess_68462,online,157.0,Дом,56.99589,35.89446
1026.0,101374.0,,Казань,Пермь,2025-07-15,16:00,B,61.0,F,2024-05-28,,3.0,0.0,0.0,0.0,user1026@example.com,mobile,sess_27496,card,169.0,Спорт,53.38273,35.96666
1096.0,,13176.41,,Мытищи,2025-04-15,15:45,C,,,2025-01-31,seo,,1.0,0.0,0.0,user1096@example.com,desktop,sess_59629,card,184.0,Дом,55.05756,35.21719
1027.0,100085.0,57155.52,Новосибирск,Мытищи,2025-05-01,8:30,A,32.0,F,2025-02-15,direct,,0.0,0.0,0.0,user1027@example.com,mobile,sess_58174,,220.0,Одежда,56.7671,36.04245
1062.0,100753.0,43847.42,Екатеринбург,Мытищи,2025-06-13,18:30,A,32.0,F,2024-05-06,ads,6.0,1.0,1.0,0.0,,tablet,sess_73541,cash,117.0,Дом,54.67709,38.2141
1002.0,100424.0,48172.51,Новосибирск,Томск,2025-04-23,21:30,B,,F,2024-09-17,social,7.0,0.0,0.0,1.0,user1002@example.com,,,credit,134.0,Продукты,53.16966,36.04534
1026.0,101026.0,14525.3,Новосибирск,Пермь,2025-05-22,9:00,C,22.0,F,2024-10-03,direct,7.0,1.0,0.0,0.0,user1026@example.com,mobile,sess_82372,cash,260.0,Спорт,56.05703,37.82538
1027.0,,41128.06,Новосибирск,Севастополь,2025-08-24,11:30,B,,M,2023-09-04,direct,,1.0,0.0,0.0,user1027@example.com,tablet,sess_45873,cash,224.0,Электроника,56.88761,36.22751
1112.0,100620.0,3143.38,Краснодар,Севастополь,2025-09-24,20:00,A,28.0,M,2024-01-15,referral,,1.0,1.0,0.0,user1112@example.com,mobile,sess_68604,cash,125.0,Дом,54.02853,38.85898
1081.0,101469.0,69654.01,Москва,Томск,2025-04-10,16:45,B,,F,2024-09-22,,,1.0,1.0,0.0,user1081@example.com,tablet,sess_60273,credit,221.0,Спорт,54.74374,35.48962
1097.0,101328.0,66801.82,Новосибирск,Севастополь,2025-04-14,7:15,B,,M,2024-05-18,social,,1.0,0.0,0.0,user1097@example.com,mobile,sess_98480,online,123.0,Дом,56.99758,38.5627
1058.0,100623.0,11848.88,Санкт-Петербург,Пермь,2025-05-11,17:00,B,43.0,M,2023-11-15,direct,,0.0,0.0,0.0,,desktop,sess_11198,online,126.0,,53.46955,38.52531
1081.0,100631.0,41062.11,Москва,,2025-04-28,14:45,C,32.0,F,2024-07-12,seo,9.0,1.0,1.0,0.0,,tablet,sess_51247,cash,177.0,Одежда,56.33328,35.91953
1101.0,100304.0,16695.43,Екатеринбург,Пушкин,2025-07-23,11:15,C,64.0,M,2025-06-07,seo,2.0,0.0,0.0,0.0,user1101@example.com,mobile,sess_18973,online,145.0,Электроника,55.70369,35.02894
1117.0,100936.0,70847.52,Екатеринбург,Пушкин,2025-06-16,8:15,C,,M,2023-08-09,seo,7.0,1.0,,0.0,user1117@example.com,mobile,sess_53898,card,248.0,Спорт,55.45977,37.21263
1081.0,100827.0,61377.06,Краснодар,Севастополь,2025-08-27,20:30,C,,F,2024-05-14,seo,,1.0,1.0,0.0,user1081@example.com,desktop,sess_38902,credit,204.0,Книги,53.08628,35.01315
1111.0,100891.0,63097.43,Краснодар,Томск,2025-04-22,22:00,C,,M,2023-11-22,ads,,1.0,0.0,0.0,user1111@example.com,tablet,sess_59519,credit,297.0,Дом,54.39809,35.88061
